SID,LD33,grade,sld
12931993,Never,6,0
5757142,Never,6,0
7720394,Never,6,0
7035071,Never,6,0
7782160,Never,6,0
8306796,Never,6,0
8213712,Always,6,1
3808246,Never,6,0
2539721,Never,6,0
6730043,Never,6,0
6832148,Always,6,1
6563406,Never,6,0
7193300,Never,6,0
8011613,Never,6,0
3088537,Sometimes,6,0
7891482,Always,6,1
7172613,Sometimes,6,0
7247869,Never,6,0
2493861,Never,6,0
4392086,Never,6,0
6914438,Always,6,1
4856600,Never,6,0
6837794,Never,6,0
8320802,Never,6,0
8092117,Always,6,1
9165304,Never,6,0
7109245,Never,6,0
7824793,Never,6,0
5390990,Never,6,0
7288476,Never,6,0
7994400,Never,6,0
8025134,Never,6,0
7162332,Never,6,0
4414004,Never,6,0
240036,Never,6,0
8349207,Never,6,0
8950598,Never,6,0
12167134,Never,6,0
3187039,Always,6,1
11588780,Never,6,0
7918089,Never,6,0
10131302,Never,6,0
4678303,Always,6,1
9215093,Never,6,0
7182813,Never,6,0
6627331,Never,6,0
7890567,Always,6,1
5123194,Never,6,0
7696868,Never,6,0
13340727,Never,6,0
11353708,Never,6,0
8113866,Never,6,0
5915767,Never,6,0
7872542,Never,6,0
7721870,Never,6,0
9268626,Never,6,0
5983037,Never,6,0
4949293,Never,6,0
8050856,Never,6,0
8635412,Never,6,0
7714394,Never,6,0
6919642,Never,6,0
8336385,Never,6,0
2640112,Never,6,0
7044380,Sometimes,6,1
2711141,Never,6,0
2957388,Never,6,0
6691676,Never,6,0
7099657,Never,6,0
3716295,Never,6,0
2459930,Never,6,0
6742866,Never,6,0
7788215,Never,6,0
12475858,Never,6,0
12699306,Never,6,0
6835163,Never,6,0
8189552,Never,6,0
4907876,Never,6,0
8177767,Never,6,0
7178522,Never,6,0
6092462,Never,6,0
5261716,Never,6,0
7084005,Never,6,0
7285248,Never,6,0
8065217,Never,6,0
3393801,Never,6,0
9268294,Never,6,0
11720751,Always,6,1
2732041,Never,6,0
10864490,Never,6,0
3093727,Never,6,0
5842298,Never,6,0
193887,Never,6,0
7821417,Never,6,0
7063024,Never,6,0
7136870,Never,6,0
701351,Never,6,0
9272046,Never,6,0
8125554,Never,6,0
8162069,Never,6,0
6554199,Always,6,1
4770404,Never,6,0
8036098,Never,6,0
8344043,Never,6,0
8329400,Never,6,0
7698062,Never,6,0
8202370,Never,6,0
6994970,Never,6,0
11785896,Never,6,0
8306907,Always,6,1
7847947,Never,6,0
8704384,Never,6,0
1244507,Never,6,0
9332081,Never,6,0
7312415,Never,6,0
6992420,Never,6,0
6271081,Never,6,0
13353020,Never,6,0
2130025,Never,6,0
9175970,Never,6,0
2495368,Never,6,0
7821832,Never,6,0
4976339,Never,6,0
3649326,Never,6,0
614580,Never,6,0
670820,Never,6,0
8243654,Never,6,0
8075859,Never,6,0
7802927,Never,6,0
7689624,Never,6,0
3700038,Never,6,0
6565905,Sometimes,6,1
4210867,Never,6,0
4711025,Never,6,0
2762366,Never,6,0
11611413,Never,6,0
7207786,Never,6,0
7721676,Never,6,0
6989659,Never,6,0
6213502,Never,6,0
7909691,Never,6,0
10177965,Never,6,0
8189935,Always,6,1
8108161,Never,6,0
7273312,Never,6,0
7940629,Never,6,0
7210841,Never,6,0
6646069,Never,6,0
5196698,Never,6,0
6863116,Never,6,0
5751500,Never,6,0
6172423,Always,6,1
6725732,Never,6,0
6997937,Never,6,0
3698726,Never,6,0
6527213,Never,6,0
7309066,Never,6,0
3327396,Never,6,0
9793348,Never,6,0
13077813,Never,6,0
6999840,Never,6,0
5380588,Never,6,0
7245033,Never,6,0
8133743,Never,6,0
7111916,Never,6,0
8329516,Never,6,0
3705846,Always,6,1
4933885,Never,6,0
6874916,Never,6,0
6560938,Never,6,0
1524739,Never,6,0
7953267,Never,6,0
7745737,Never,6,0
11819596,Never,6,0
6204821,Never,6,0
7254563,Never,6,0
8222169,Never,6,0
2766353,Never,6,0
7139497,Never,6,0
12604674,Never,6,0
8255172,Never,6,0
243396,Never,6,0
8152179,Never,6,0
188204,Never,6,0
9332650,Never,6,0
7154062,Never,6,0
6850839,Never,6,0
7072554,Never,6,0
5000955,Never,6,0
6952496,Never,6,0
9281630,Never,6,0
3020800,Never,6,0
7743572,Never,6,0
6943853,Never,6,0
6932444,Never,6,0
1583549,Never,6,0
11707526,Never,6,0
7268769,Never,6,0
935034,Never,6,0
8640300,Always,6,1
8647097,Never,6,0
8245487,Never,6,0
4099621,Never,6,0
6612059,Never,6,0
8019010,Never,6,0
4710231,Never,6,0
8178917,Never,6,0
500844,Never,6,0
8149216,Never,6,0
2954761,Never,6,0
7097190,Never,6,0
8074402,Never,6,0
7712448,Never,6,0
6539149,Never,6,0
8217122,Never,6,0
7970749,Never,6,0
5570727,Never,6,0
2456850,Never,6,0
12659010,Never,6,0
2731703,Never,6,0
7085400,Never,6,0
8082308,Never,6,0
4515579,Never,6,0
1834711,Never,6,0
8210616,Always,6,1
5153131,Never,6,0
6847889,Never,6,0
8659966,Always,6,1
11700009,Never,6,0
6541550,Never,6,0
12010456,Never,6,0
3169480,Always,6,1
7113382,Never,6,0
8239703,Never,6,0
2327201,Never,6,0
6970397,Never,6,0
7316291,Never,6,0
8335621,Never,6,0
7747756,Never,6,0
6845851,Never,6,0
7616236,Never,6,0
191434,Never,6,0
8010900,Never,6,0
8696683,Never,6,0
6611931,Never,6,0
6756786,Never,6,0
8732841,Sometimes,6,1
6997821,Never,6,0
7692498,Never,6,0
8213879,Never,6,0
9045090,Never,6,0
6945953,Never,6,0
3486826,Never,6,0
6550649,Never,6,0
6701582,Sometimes,6,0
10656863,Never,6,0
8013284,Always,6,1
616222,Never,6,0
6615716,Never,6,0
10905731,Never,6,0
4071778,Never,6,0
7346735,Never,6,0
6544347,Never,6,0
9268294,Never,6,0
5107474,Always,6,1
8073805,Never,6,0
10764585,Never,6,0
12572616,Never,6,0
8732280,Never,6,0
7958056,Never,6,0
6616011,Never,6,0
12871524,Never,6,0
7264909,Never,6,0
7830092,Never,6,0
6530869,Never,6,0
8003602,Never,6,0
7994621,Never,6,0
1243578,Never,6,0
4561627,Never,6,0
6706606,Never,6,0
8237522,Never,6,0
1741187,Never,6,0
8278954,Never,6,0
7979371,Never,6,0
5469228,Never,6,0
6714951,Never,6,0
8075077,Never,6,0
8200912,Never,6,0
7052138,Never,6,0
2923025,Never,6,0
10054219,Never,6,0
10020403,Never,6,0
6573134,Never,6,0
2688859,Never,6,0
7004044,Never,6,0
8569576,Never,6,0
12476625,Always,6,1
7320361,Never,6,0
6706495,Never,6,0
6774504,Never,6,0
6890482,Never,6,0
10050884,Never,6,0
11391790,Never,6,0
11717971,Never,6,0
7891830,Never,6,0
7961901,Never,6,0
6219853,Never,6,0
6699081,Never,6,0
7215150,Never,6,0
6833284,Never,6,0
6634605,Never,6,0
7954301,Never,6,0
856983,Never,6,0
7615493,Never,6,0
2863537,Never,6,0
6633587,Never,6,0
7183070,Never,6,0
8037523,Never,6,0
9751416,Never,6,0
11098015,Never,6,0
4515676,Never,6,0
8327726,Never,6,0
8078491,Never,6,0
7788150,Never,6,0
3243788,Never,6,0
7354800,Never,6,0
8864632,Never,6,0
5174279,Never,6,0
7410743,Never,6,0
7977263,Never,6,0
3123596,Never,6,0
7717547,Never,6,0
6507476,Never,6,0
6724574,Never,6,0
2974991,Never,6,0
8340552,Never,6,0
10616551,Never,6,0
10970363,Never,6,0
6565298,Never,6,0
5665000,Never,6,0
6858015,Never,6,0
7140665,Never,6,0
7121520,Never,6,0
10800603,Never,6,0
7895135,Never,6,0
7839499,Never,6,0
500917,Never,6,0
9336214,Never,6,0
8256632,Never,6,0
8052514,Never,6,0
6300782,Never,6,0
11009055,Never,6,0
10320059,Never,6,0
4711025,Never,6,0
8299293,Never,6,0
7102496,Never,6,0
7997949,Never,6,0
12244368,Never,6,0
8337845,Never,6,0
6699146,Never,6,0
4627806,Never,6,0
3935418,Never,6,0
10813578,Never,6,0
720313,Never,6,0
4650433,Never,6,0
6997465,Never,6,0
6599354,Never,6,0
6777325,Never,6,0
9322280,Never,6,0
4177770,Never,6,0
6799817,Never,6,0
7901518,Never,6,0
4045513,Never,6,0
2867745,Never,6,0
857238,Never,6,0
10444556,Never,6,0
7708394,Never,6,0
7115520,Never,6,0
7916183,Never,6,0
11246987,Sometimes,6,0
6575129,Sometimes,6,1
7979096,Sometimes,6,0
7684428,Never,6,0
6835015,Never,6,0
8322384,Never,6,0
8999120,Never,6,0
3145573,Always,6,1
7617941,Never,6,0
5984904,Never,6,0
6475892,Never,6,0
6811124,Never,6,0
8798028,Never,6,0
8158606,Never,6,0
8117144,Never,6,0
6836925,Never,6,0
6533302,Never,6,0
7080832,Never,6,0
5625211,Never,6,0
5516110,Never,6,0
8030278,Never,6,0
6853021,Never,6,0
6538177,Never,6,0
8061858,Never,6,0
7705905,Never,6,0
11105313,Never,6,0
1568337,Never,6,0
5733243,Never,6,0
7314744,Never,6,0
3164055,Never,6,0
6409962,Never,6,0
6683134,Never,6,0
614580,Never,6,0
6944957,Never,6,0
7905459,Never,6,0
8119953,Never,6,0
8029776,Never,6,0
6567940,Never,6,0
7452152,Never,6,0
12128481,Never,6,0
7821018,Never,6,0
8081697,Never,6,0
10656766,Never,6,0
11679182,Never,6,0
6520243,Never,6,0
11933453,Never,6,0
8251010,Never,6,0
6726097,Never,6,0
7821816,Never,6,0
8202362,Never,6,0
6612156,Never,6,0
8131228,Never,6,0
6661718,Never,6,0
7994125,Never,6,0
1069136,Never,6,0
6507344,Never,6,0
6846882,Never,6,0
7890338,Never,6,0
5006392,Never,6,0
11807407,Never,6,0
6920195,Never,6,0
6179738,Never,6,0
7819935,Never,6,0
8178992,Never,6,0
7990081,Never,6,0
7915551,Always,6,1
505358,Never,6,0
8950970,Never,6,0
4721608,Sometimes,6,1
6829058,Never,6,0
4688481,Never,6,0
11208570,Never,6,0
613614,Never,6,0
7106378,Never,6,0
7045344,Never,6,0
6265855,Always,6,1
8100896,Never,6,0
11105356,Never,6,0
8001154,Never,6,0
6419852,Never,6,0
7958315,Never,6,0
1972863,Never,6,0
8222002,Never,6,0
7735804,Never,6,0
10613102,Never,6,0
1889532,Never,6,0
6644082,Never,6,0
8005265,Never,6,0
8219168,Never,6,0
6642500,Never,6,0
7001819,Never,6,0
11101466,Never,6,0
5654416,Never,6,0
2344092,Never,6,0
7266839,Never,6,0
7079168,Never,6,0
6649467,Never,6,0
6682073,Always,6,1
7896301,Never,6,0
10333983,Never,6,0
2276011,Never,6,0
1834908,Never,6,0
10751211,Never,6,0
8022011,Never,6,0
2391392,Always,6,1
8132089,Never,6,0
3012395,Never,6,0
10041168,Never,6,0
2737124,Never,6,0
7761635,Never,6,0
8082294,Never,6,0
9408851,Never,6,0
11771399,Never,6,0
2931230,Never,6,0
6847625,Never,6,0
3697649,Never,6,0
6765084,Never,6,0
5571413,Never,6,0
8138230,Sometimes,6,1
2751496,Never,6,0
7354495,Never,6,0
8170193,Never,6,0
9044043,Never,6,0
2826895,Never,6,0
7254180,Never,6,0
1121529,Never,6,0
6888860,Never,6,0
8333920,Never,6,0
2355388,Never,6,0
7182686,Never,6,0
6865372,Never,6,0
7702175,Never,6,0
5260922,Never,6,0
8000123,Never,6,0
6652743,Never,6,0
2370875,Never,6,0
8232482,Never,6,0
7186940,Never,6,0
12820814,Always,6,1
7807414,Never,6,0
6698891,Never,6,0
