SID,grade,clock,cohort,LD33,SS
1243667,7,1,5,Never,238
12961647,6,0,7,Never,221
5477581,7,1,5,Never,224
4177568,8,2,5,Never,248
9368752,7,1,6,Never,239
7736290,7,1,7,Never,239
9486143,6,0,5,Never,220
6181953,7,1,5,Never,237
7966652,7,1,7,Never,234
7776640,7,1,6,Never,234
8240515,7,1,7,Never,228
4447700,6,0,5,Never,213
2521571,8,2,5,Never,228
7380860,7,1,6,Never,235
7864744,8,2,7,Never,254
3472159,8,2,5,Sometimes,224
4373545,6,0,5,Never,233
260517,7,1,5,Always,215
8453276,7,1,5,Never,237
6717101,6,0,6,Never,227
3918114,6,0,5,Never,245
6880525,6,0,5,Always,215
5764882,7,1,5,Never,224
6936571,7,1,6,Never,228
7377088,8,2,5,Never,237
7636083,6,0,7,Never,227
757373,6,0,6,Never,220
7740514,6,0,7,Never,221
4826922,7,1,5,Never,222
9113622,6,0,7,Never,233
12066885,6,0,5,Never,233
7173512,6,0,6,Always,212
7735855,8,2,7,Never,240
4755839,8,2,5,Never,234
6724957,8,2,6,Never,237
8591962,8,2,7,Never,238
8560005,7,1,6,Never,251
7099843,6,0,6,Never,217
7153120,6,0,6,Always,213
832820,8,2,5,Never,242
6952933,8,2,6,Never,249
4046870,7,1,5,Never,244
8523568,8,2,7,Never,234
8049467,6,0,7,Never,227
6634567,6,0,5,Never,223
8021309,7,1,7,Never,246
7310501,7,1,7,Never,229
7975198,8,2,7,Never,232
8239711,6,0,7,Never,226
9091432,6,0,5,Never,220
8176809,6,0,7,Sometimes,223
7317727,7,1,6,Never,231
11616563,7,1,6,Never,243
7022980,6,0,6,Never,236
10828443,8,2,6,Never,229
6724914,6,0,5,Never,223
8231591,8,2,7,Never,239
6569293,8,2,7,Never,247
7710321,6,0,6,Never,245
3472299,8,2,5,Never,230
7776640,8,2,7,Never,238
6765963,7,1,6,Never,230
6795951,8,2,6,Never,232
8966982,8,2,6,Never,235
6691676,8,2,6,Never,268
8233268,6,0,7,Never,216
7958080,8,2,7,Never,234
8099936,6,0,7,Never,227
11204532,7,1,7,Never,237
12780642,7,1,6,Never,241
8309183,8,2,7,Never,233
10667636,6,0,7,Never,222
7504349,6,0,7,Never,226
8330077,6,0,7,Never,243
9844341,7,1,6,Never,225
8110166,7,1,7,Never,229
7836929,8,2,7,Never,227
8318476,6,0,7,Never,213
2428482,6,0,5,Never,238
7823878,6,0,7,Never,239
5569842,7,1,5,Never,240
6998461,8,2,5,Never,220
3500004,8,2,5,Never,229
7946635,6,0,7,Never,231
614041,7,1,5,Never,240
6569900,6,0,6,Never,216
6952615,8,2,6,Never,230
9791418,7,1,6,Never,251
4689666,7,1,5,Never,233
7946635,6,0,7,Never,247
2365715,6,0,5,Never,228
6480799,7,1,5,Never,230
5760232,8,2,5,Never,244
6528821,6,0,6,Sometimes,216
7899297,6,0,5,Never,224
671908,6,0,5,Never,223
7912013,7,1,7,Always,231
7099568,8,2,6,Never,241
6925847,8,2,5,Never,245
13603868,7,1,7,Never,240
10179070,7,1,5,Never,225
10145974,8,2,7,Never,250
13205889,8,2,7,Never,260
8206805,8,2,7,Never,251
7313365,8,2,6,Never,249
7720807,6,0,7,Never,239
614904,6,0,5,Never,216
6933637,7,1,6,Never,225
7070934,8,2,6,Never,242
7971478,8,2,7,Never,235
1057200,8,2,5,Never,237
6956289,8,2,6,Never,232
7023219,6,0,6,Never,218
6936393,7,1,6,Never,245
8051593,8,2,7,Never,251
6851843,6,0,6,Never,257
8251894,6,0,7,Never,224
6629849,6,0,5,Never,268
9331379,8,2,7,Never,227
8293139,8,2,6,Never,250
8640580,6,0,7,Never,237
7889917,6,0,7,Never,211
8523568,6,0,7,Never,232
6893902,8,2,6,Never,225
4003462,7,1,5,Never,242
6579035,8,2,6,Never,232
3118304,8,2,5,Never,241
3342506,7,1,5,Never,242
